"","YEAR","PID","CLASS_TYPE","AREA","FRAC","PROX","ENN","CLASS_NAME"
"310",2023,3620,"cls_3",0.1021,1,45614.5557,63.9,"Pasture"
"311",2023,3630,"cls_3",1.1229,1.1271,31533.2398,101.0348,"Pasture"
"312",2023,3634,"cls_3",2.9603,1.0509,45326.9845,63.9,"Pasture"
"313",2023,3647,"cls_3",0.7146,1.0631,35733.4387,71.4424,"Pasture"
"314",2023,3651,"cls_3",0.3062,1.0358,41047.4021,63.9,"Pasture"
"315",2023,3655,"cls_3",0.7146,1.0283,32840.6273,71.4424,"Pasture"
"316",2023,3683,"cls_3",0.1021,1,43610.2724,63.9,"Pasture"
"317",2023,3734,"cls_3",0.2042,1.0155,41050.7099,63.9,"Pasture"
"318",2023,3741,"cls_3",0.5104,1.105,19718.0633,90.3682,"Pasture"
"319",2023,3744,"cls_3",0.8166,1.1031,35258.396,71.4424,"Pasture"
"320",2023,3747,"cls_3",0.1021,1,37272.9665,71.4424,"Pasture"
"321",2023,3789,"cls_3",1869.8039,1.1889,180893.1383,63.9,"Pasture"
"322",2023,3807,"cls_3",5.104,1.1051,45340.9856,63.9,"Pasture"
"323",2023,3889,"cls_3",16713.191,1.2445,191203.3046,63.9,"Pasture"
"324",2023,3896,"cls_3",9.9018,1.0548,417.6737,63.9,"Pasture"
"325",2023,3903,"cls_3",1.5312,1.1075,41095.4888,63.9,"Pasture"
"326",2023,3912,"cls_3",0.1021,1,273.1418,63.9,"Pasture"
"327",2023,3915,"cls_3",0.1021,1,256.9009,131.7332,"Pasture"
"328",2023,3936,"cls_3",0.1021,1,63896.459,63.9,"Pasture"
"329",2023,3952,"cls_3",24.9076,1.0724,70263.4671,63.9,"Pasture"
"330",2023,3956,"cls_3",11.6371,1.1424,11159.1246,63.9,"Pasture"
